field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14
9035,coriander,27.5629202266,8.9017411939,7.9327652865,26.5941818107,22.9229839775,40.9124234552,0,0,0,0,1,0
9036,coriander,19.3187589456,9.1035295553,7.8277654817,22.6782871659,21.1442888608,41.809688736,0,0,0,0,1,0
9037,coriander,17.0481230004,9.9541463676,7.8955038057,26.89042042,15.7227399846,37.2795576893,0,0,0,0,1,0
9038,coriander,15.5881733487,9.3304379232,9.9554920377,25.2928279143,23.930399765,40.204859848,0,0,0,0,1,0
9039,coriander,15.3193713243,8.76395666,8.787164672,26.4791864644,15.3964290394,40.9967973554,0,0,0,0,1,0
9040,coriander,21.3141806673,8.403389291,9.5729456642,26.1929494886,21.2581174369,41.6254242274,0,0,0,0,1,0
9041,coriander,18.1159322777,9.0523489275,8.1985661797,23.7282321474,23.8879304994,40.2046268195,0,0,0,0,1,0
9042,coriander,19.4226189379,8.0722374146,8.7076985892,25.1513739461,24.6008092734,37.4814444868,0,0,0,0,1,0
9043,coriander,24.3253036275,8.4458343498,8.9918285709,26.4837446488,16.4118694771,38.6660477988,0,0,0,0,1,0
9044,coriander,26.6284698827,9.3495384746,7.7913749237,26.1399690436,19.6549850069,42.2264960107,0,0,0,0,1,0
9045,coriander,23.8586050136,8.7149824557,9.7706747345,22.5075870246,19.0038423252,37.9477091821,0,0,0,0,1,0
9046,coriander,24.5125288858,9.9708897486,9.8433327167,24.0994260704,21.0021685743,39.9073720414,0,0,0,0,1,0
9047,coriander,21.5539991353,9.1831442304,8.1442574982,26.2260411217,22.9728920466,39.2871930554,0,0,0,0,1,0
9048,coriander,21.7348983533,8.9194173192,8.8000233925,23.9170365571,19.2954276173,38.1711015197,0,0,0,0,1,0
9049,coriander,20.7509669319,8.7965232987,7.596781418,24.8282829171,16.0508764271,37.6048443054,0,0,0,0,1,0
9050,coriander,16.3072595631,8.1183406999,7.7063952516,22.9030395134,23.3034883505,42.2070307963,0,0,0,0,1,0
9051,coriander,15.8568931879,8.8264693676,8.8545615978,27.8068291453,19.2258180908,37.2324979086,0,0,0,0,1,0
9052,coriander,26.4134120884,8.8031330265,9.7637245773,24.6169400923,16.2415307991,38.4852739854,0,0,0,0,1,0
9053,coriander,22.0766271064,9.6908667102,9.1807159515,25.2164144921,15.018926786,40.4503633103,0,0,0,0,1,0
9054,coriander,22.9140397541,9.3144243987,9.9745030537,24.8001848633,19.9718248472,37.1744620901,0,0,0,0,1,0
9055,coriander,19.8756618804,8.7285305585,8.8441034916,27.9701204016,16.3084742344,40.6364062949,0,0,0,0,1,0
9056,coriander,25.4544853979,9.4745871561,9.9052002853,22.6486237391,17.6889561852,39.7128904596,0,0,0,0,1,0
9057,coriander,27.3784526433,9.9608540769,7.9061679168,27.7169055588,19.4428100835,42.2125021907,0,0,0,0,1,0
9058,coriander,22.6892191011,9.5453998989,8.9971643287,27.14741825,23.4321975239,37.5122557244,0,0,0,0,1,0
9059,coriander,18.2885771118,9.308028778,8.7224906745,26.1115049118,18.3478913593,37.337808837,0,0,0,0,1,0
9060,coriander,22.0160013383,9.4148834126,9.618604274,22.9184954616,21.7350562711,39.9968626027,0,0,0,0,1,0
9061,coriander,26.1278398562,8.9116920989,8.5843169544,24.7731330287,20.5473791815,39.201138895,0,0,0,0,1,0
9062,coriander,25.4010905615,9.3671404012,8.485563865,22.672492638,23.7823217985,38.1467554732,0,0,0,0,1,0
9063,coriander,19.0472643245,8.0900305249,9.3667629412,22.0458891718,21.3459374661,39.1725856048,0,0,0,0,1,0
9064,coriander,16.0209405203,9.6425469172,8.3049184725,22.9024019814,23.6441868946,40.4422640568,0,0,0,0,1,0
9065,coriander,24.8535853274,8.653716435,8.4301811433,25.606273074,18.3775895949,40.7826840525,0,0,0,0,1,0
9066,coriander,20.2496063408,9.5346423384,9.657125206,24.7222607381,23.0640427178,40.5703540201,0,0,0,0,1,0
9067,coriander,16.1337408987,8.1116090428,9.9166346548,25.3292561403,15.6275552703,42.5900027941,0,0,0,0,1,0
9068,coriander,20.3883263694,8.3600221292,8.6460982017,25.6670601733,23.8170215813,39.1231918637,0,0,0,0,1,0
9069,coriander,17.4077552721,8.1653600981,9.7230319939,25.0696353519,20.3891534074,39.3096953941,0,0,0,0,1,0
9070,coriander,22.1460413595,9.8392054034,7.9054755851,26.2188493754,16.3513620001,42.2905494525,0,0,0,0,1,0
9071,coriander,26.0704515374,8.0472517312,9.0755264398,27.6433208103,16.5307958986,39.8824646032,0,0,0,0,1,0
9072,coriander,18.3058820021,8.5139137107,7.7477510423,27.8843371717,17.0255751441,40.7456003096,0,0,0,0,1,0
9073,coriander,17.360726345,9.8979396236,9.6864036318,26.3472609607,18.7180204942,41.1639228234,0,0,0,0,1,0
9074,coriander,21.8236371967,8.0116705269,9.814441365,26.2513984792,18.8073491685,39.9255734077,0,0,0,0,1,0
9075,coriander,16.1844491727,9.2458485863,8.554461371,23.4124407689,16.4293695571,42.9983343423,0,0,0,0,1,0
9076,coriander,23.7009487763,8.6283199856,9.064465994,23.3865478649,20.7597515414,40.8838249267,0,0,0,0,1,0
9077,coriander,20.0962027035,8.2349125839,8.9224438057,22.468636481,16.3343932846,42.1673463391,0,0,0,0,1,0
9078,coriander,18.216022582,9.2872879786,9.9536266657,22.3752388081,22.4802993379,39.485572622,0,0,0,0,1,0
9079,coriander,15.2510796321,8.1923469053,8.088666901,27.2379970513,20.6305162329,40.9343646988,0,0,0,0,1,0
9080,coriander,15.3604879389,9.9161352506,8.0077440739,27.7339902554,17.3447123911,41.1715510427,0,0,0,0,1,0
9081,coriander,17.2977134635,9.6926970101,9.7199044047,22.8622909284,19.8482904877,37.3708898761,0,0,0,0,1,0
9082,coriander,23.5954202584,9.507827038,9.9661464082,27.085891012,19.0661905047,41.0918351134,0,0,0,0,1,0
9083,coriander,22.826191365,9.7171935799,9.6876331084,22.8304145098,22.6400124157,42.0274180438,0,0,0,0,1,0
9084,coriander,18.9445123334,8.3120856943,8.5089180801,25.0163240635,24.9048872795,38.2261420183,0,0,0,0,1,0
9085,coriander,24.8784812972,9.8929793722,9.5287660773,27.2144969955,15.2476202009,40.9837957312,0,0,0,0,1,0
9086,coriander,19.2322995591,8.7390401595,9.4582760615,24.5866882988,19.6334326175,39.7611634852,0,0,0,0,1,0
9087,coriander,17.4790998007,9.863185794,8.3050600697,24.4231911921,19.0198331803,42.4835686601,0,0,0,0,1,0
9088,coriander,24.3154299447,9.8743254428,8.274518994,25.0243509213,21.2723364344,39.4352443017,0,0,0,0,1,0
9089,coriander,16.9079583316,8.8336685623,9.2011061654,23.3535061304,16.2757913065,41.4216028133,0,0,0,0,1,0
9090,coriander,19.4282897404,8.9029899789,8.6912308709,22.4907372441,15.8727002749,41.4572027814,0,0,0,0,1,0
9091,coriander,22.39269677,8.7910072947,8.5010608969,24.4420786332,20.831281305,40.8428142225,0,0,0,0,1,0
9092,coriander,17.1538532245,8.4255474116,8.3404658673,23.0703015256,15.5696961753,42.9461391695,0,0,0,0,1,0
9093,coriander,26.3050883628,8.602480301,9.5257422812,27.5660961077,22.7772547955,40.1948547786,0,0,0,0,1,0
9094,coriander,25.5167904689,9.8478008498,8.785890577,25.0538097346,24.6544519324,39.0619154864,0,0,0,0,1,0
9095,coriander,18.824475002,9.7667919677,8.1561351352,25.8562958924,16.8761785281,40.5376668286,0,0,0,0,1,0
9096,coriander,26.1880317682,9.7498657888,7.6823899565,24.0630583175,18.0711109242,41.7319073855,0,0,0,0,1,0
9097,coriander,20.6686007962,9.586056853,8.2272669477,27.0886712797,15.079238507,41.9719830303,0,0,0,0,1,0
9098,coriander,27.6899479824,9.191258035,8.9422689947,24.3465823504,20.9610493455,39.4305559437,0,0,0,0,1,0
9099,coriander,25.006569093,9.4703212304,7.7713239298,23.1301330944,20.8239681734,40.7666350734,0,0,0,0,1,0
9100,coriander,26.3580328202,8.562023821,8.253575331,27.536622806,24.0200407158,38.5387457036,0,0,0,0,1,0
9101,coriander,15.8862664191,9.2447816349,7.52950759,22.2507844847,17.586180434,40.4916349982,0,0,0,0,1,0
9102,coriander,17.7484600717,8.1433451861,8.238141673,25.0195258599,16.3312559293,37.07311735,0,0,0,0,1,0
9103,coriander,21.2280382698,8.3190575294,9.4933087681,26.7685123202,21.5528366868,37.6180892702,0,0,0,0,1,0
9104,coriander,23.7093532712,8.0644501881,9.8078651147,23.0676477117,24.6861998854,42.1279628264,0,0,0,0,1,0
9105,coriander,15.9651052172,9.8961191134,8.8009144136,22.9922533641,24.3415252858,37.5579580798,0,0,0,0,1,0
9106,coriander,22.3088545207,9.1209612515,7.6987369354,22.4382180033,24.6020535013,42.6419156245,0,0,0,0,1,0
9107,coriander,17.9660948522,8.6611422014,8.7253662635,24.8411123764,24.2175627626,41.1348566908,0,0,0,0,1,0
9108,coriander,24.7361069353,9.4102004852,7.7564839652,26.6775021509,18.2156230265,39.0260270099,0,0,0,0,1,0
9109,coriander,25.3948254505,9.567825357,8.5226287987,24.032484671,16.627746671,37.7003282029,0,0,0,0,1,0
9110,coriander,21.1952184282,8.9524838311,9.9680382168,24.5320228833,15.1928254991,39.3443718701,0,0,0,0,1,0
9111,coriander,15.6476008133,8.0468988145,9.5424548401,23.424951147,15.9260869857,40.52222188,0,0,0,0,1,0
9112,coriander,16.6209883248,9.9371072044,8.9648214036,24.1928257446,18.6295888909,39.3298684015,0,0,0,0,1,0
9113,coriander,26.2332839201,8.6315848066,7.5972569518,25.962419661,15.7176700973,42.5106923477,0,0,0,0,1,0
9114,coriander,19.7779543222,8.6249490876,9.4044065518,23.1765835611,24.5864899595,39.6728270086,0,0,0,0,1,0
9115,coriander,27.9320964736,8.4766849469,8.5904445512,25.9368957662,19.5365533065,39.9529167394,0,0,0,0,1,0
9116,coriander,17.5827496378,9.6906618158,8.2130122476,24.1116705346,18.4218052459,38.1874966473,0,0,0,0,1,0
9117,coriander,17.4921669504,8.26125214,7.5554039819,23.7991154423,16.1590197825,39.8248711126,0,0,0,0,1,0
9118,coriander,24.5132441434,9.7810606,7.8075501098,23.2490403408,15.4515533459,37.0718357886,0,0,0,0,1,0
9119,coriander,20.2408700056,8.1083137667,9.84506984,24.4628166105,24.5888245491,42.7165089783,0,0,0,0,1,0
9120,coriander,22.6345107561,9.8748841076,8.0650585439,26.3651471167,23.4930149216,41.5733465916,0,0,0,0,1,0
9121,coriander,17.7900579138,8.7062879855,9.1178210265,23.1299712941,15.0796077992,37.1455661061,0,0,0,0,1,0
9122,coriander,23.3640080737,9.0883806355,9.790087912,23.6905071176,23.4723559238,37.9019718439,0,0,0,0,1,0
9123,coriander,25.475581683,9.6072871877,8.755829623,24.845960605,21.5084619828,38.4433012192,0,0,0,0,1,0
9124,coriander,25.2070036377,9.4890771414,9.4395640022,22.1595675628,20.2134467029,42.6319885694,0,0,0,0,1,0
9125,coriander,20.6317388944,9.7890941335,7.8093005712,27.3489980026,17.9528555292,38.6455815437,0,0,0,0,1,0
9126,coriander,25.995445085,8.3648064162,8.4025412224,24.2233292875,23.1920768227,41.7847953868,0,0,0,0,1,0
9127,coriander,16.2151148415,8.4848491172,9.3665730619,27.5737715183,21.120758332,41.1391270942,0,0,0,0,1,0
9128,coriander,15.6180821533,9.0611595388,7.9468888032,26.3801667243,22.1866854461,42.550802665,0,0,0,0,1,0
9129,coriander,22.2110717543,8.9854769647,8.5514812528,27.888230051,21.7068136449,40.2554012392,0,0,0,0,1,0
9130,coriander,22.2035376151,9.1701037179,9.4157959624,23.4736633777,21.0832279886,41.0626648909,0,0,0,0,1,0
9131,coriander,15.3272429648,8.7319708146,9.7868848989,22.5181163364,23.3707218158,41.585475119,0,0,0,0,1,0
9132,coriander,15.1072915064,9.1369317016,8.6894640329,24.8444414664,22.3170370922,38.2306190103,0,0,0,0,1,0
9133,coriander,18.286524262,9.009352966,9.2701009025,24.9563559795,24.3425122375,41.8771464324,0,0,0,0,1,0
9134,coriander,25.109000797,8.5705310566,9.9004451754,22.9730587354,18.5361024094,40.732144263,0,0,0,0,1,0
9135,coriander,18.1037479146,8.3859349442,7.7206430615,23.7777313998,24.8093342386,41.0153935253,0,0,0,0,1,0
9136,coriander,21.4298181002,9.0408025282,9.8902517286,27.5009420184,20.7241324805,37.609440625,0,0,0,0,1,0
9137,coriander,18.4164949048,9.3897894963,7.6415665909,23.9223757926,20.9271234168,37.3664289224,0,0,0,0,1,0
9138,coriander,16.1637740244,9.7603786521,9.2678979366,24.6198635544,22.4266291626,39.8928293591,0,0,0,0,1,0
9139,coriander,17.0103359513,9.8877138693,8.8224877024,27.5968523249,18.6258722568,37.0846883303,0,0,0,0,1,0
9140,coriander,24.120156772,9.8193050659,9.5064379145,27.1140992802,19.8127232998,39.4104698797,0,0,0,0,1,0
9141,coriander,23.6812838042,9.1815268668,7.9595460741,24.1598440437,18.4684003811,38.5940624737,0,0,0,0,1,0
9142,coriander,19.9157947976,8.091208086,9.8274013806,22.3688612347,19.2121818767,38.8855515016,0,0,0,0,1,0
9143,coriander,21.6026979991,8.1233707071,9.8745448875,25.4540970673,20.1244050305,41.1006556064,0,0,0,0,1,0
9144,coriander,27.8955843686,9.4415004705,9.6756213211,25.400127541,24.4268711851,39.452479648,0,0,0,0,1,0
9145,coriander,25.3832415608,8.2329740482,9.7589753812,26.6945071914,16.8061918036,40.9714340623,0,0,0,0,1,0
9146,coriander,26.4475149095,9.523722834,9.216583765,27.4473775243,21.5870525042,39.5832819928,0,0,0,0,1,0
9147,coriander,25.7564911739,8.0314334234,7.9340990685,23.1225402581,24.2252777675,39.9632186259,0,0,0,0,1,0
9148,coriander,16.9780732679,8.1382893098,9.2735066733,23.8423523922,23.0726242112,40.201968883,0,0,0,0,1,0
9149,coriander,23.1724841775,9.3007994465,8.0780890471,27.5301962438,18.4752623429,40.1496663242,0,0,0,0,1,0
9150,coriander,17.2418830856,8.1668901507,8.6832776809,24.3732679313,22.2785009419,41.1348374286,0,0,0,0,1,0
9151,coriander,26.6950900947,9.2405834697,8.865749246,25.2494878416,16.812016762,42.5260431127,0,0,0,0,1,0
9152,coriander,25.1004264568,9.3738931378,8.9625645905,24.0240538985,18.0721149791,42.098512926,0,0,0,0,1,0
9153,coriander,19.5869792492,9.198656489,8.2304365026,23.8713473054,18.0629532866,40.89889195,0,0,0,0,1,0
9154,coriander,22.2121771419,8.1712587796,8.884364026,22.8025040151,15.731892205,38.8052812524,0,0,0,0,1,0
9155,coriander,26.001233584,9.5287453937,9.6862831672,24.7187193491,22.0636964927,38.8912999655,0,0,0,0,1,0
9156,coriander,20.1752301447,9.2357985017,8.0333185891,23.4322518798,20.1226840363,39.0778028215,0,0,0,0,1,0
9157,coriander,21.5266605723,9.5967894877,9.5851790248,23.5900985031,19.5960444706,39.8892689468,0,0,0,0,1,0
9158,coriander,25.3206108146,8.9006365185,8.9546438783,25.7957073673,20.2469240764,41.5576566616,0,0,0,0,1,0
9159,coriander,19.4528525718,8.7502179784,9.2935252401,23.5851480157,20.7520306156,40.7405171422,0,0,0,0,1,0
9160,coriander,17.4308955958,9.8085223661,9.2034936622,23.4228404355,21.4727488944,40.6098121179,0,0,0,0,1,0
9161,coriander,21.2822204376,9.0018515785,8.2218558224,22.0548720809,24.560127408,42.8408859867,0,0,0,0,1,0
9162,coriander,19.1646166939,9.1046574074,8.6940478629,24.2319696047,19.4532844499,42.3455390409,0,0,0,0,1,0
9163,coriander,27.735025155,8.6749620169,8.4927506189,23.5821095884,20.8381034472,40.5366409775,0,0,0,0,1,0
9164,coriander,27.8852759345,8.900767158,8.184372786,25.6250222646,19.8810509564,38.6588506255,0,0,0,0,1,0
9165,coriander,22.1898110069,8.1917047159,9.9336396151,23.1798707816,19.8147550209,37.555432143,0,0,0,0,1,0
9166,coriander,17.4642303778,8.5221820498,8.8331156068,24.4438022641,23.1707811484,42.6822170409,0,0,0,0,1,0
9167,coriander,16.741299186,8.6770785388,7.8438982919,22.1985634042,21.7539972183,42.0468158248,0,0,0,0,1,0
9168,coriander,17.2896210768,9.7272104719,9.1520711941,22.7272239492,24.4086246443,38.7027600363,0,0,0,0,1,0
9169,coriander,27.8974623626,9.9777738144,9.7776789126,27.6634441188,17.8742276562,39.5657473415,0,0,0,0,1,0
9170,coriander,26.5966425993,8.0794899317,9.5422708453,23.4967063581,20.104548953,40.7605610393,0,0,0,0,1,0
9171,coriander,17.9915421069,9.9264417089,7.8464542642,27.5561691392,17.8324313234,39.1343317637,0,0,0,0,1,0
9172,coriander,20.2955466233,8.9679347413,9.419642829,23.2208226337,15.2920546277,41.0618743305,0,0,0,0,1,0
9173,coriander,16.1191871046,9.6793433906,9.5826652374,24.2516302884,24.9696090377,41.4452491802,0,0,0,0,1,0
9174,coriander,17.590733344,8.9410245864,8.1621601739,22.6027846605,21.7854055741,37.6912079245,0,0,0,0,1,0
9175,coriander,22.2657510029,8.4171016475,9.7112656272,27.8923272889,15.2020659596,38.5834373187,0,0,0,0,1,0
9176,coriander,21.2659595465,8.0773381869,8.1682183385,24.1041911831,20.7230905793,39.486191355,0,0,0,0,1,0
9177,coriander,22.2140213428,9.7044284544,9.4119452869,22.3096267336,15.2566694427,37.3472200008,0,0,0,0,1,0
9178,coriander,20.3249194315,8.5951974841,9.9808328875,23.2579112518,17.5976534403,40.9518689097,0,0,0,0,1,0
9179,coriander,27.2536882406,9.2552552708,9.3986057969,24.2538831268,17.0790046273,38.0424244614,0,0,0,0,1,0
9180,coriander,16.6864645769,9.2192275602,8.3744847853,24.3253052398,18.8776713785,42.8650714896,0,0,0,0,1,0
9181,coriander,20.9441973384,9.4645001466,9.8047138113,25.7727326416,19.5835324475,40.6586330551,0,0,0,0,1,0
9182,coriander,20.2745599677,8.410746385,8.9100382172,27.4005711318,15.2701739698,37.0963236564,0,0,0,0,1,0
9183,coriander,24.2580189903,8.0856719211,9.6598571008,24.1635856496,17.5740590126,40.5153989124,0,0,0,0,1,0
9184,coriander,23.0107447162,8.1668434202,7.7930721407,26.4983968688,18.6116280136,42.1189658448,0,0,0,0,1,0
9185,coriander,19.8920405493,9.8928763257,7.7977981937,26.7001044191,23.3805765217,42.6300785943,0,0,0,0,1,0
9186,coriander,22.9269826146,9.514249437,8.1668423107,24.6958678939,24.7680827314,40.7860412715,0,0,0,0,1,0
9187,coriander,22.3360328489,8.564188811,8.2324383091,22.8835965109,18.4239080982,38.4614662569,0,0,0,0,1,0
9188,coriander,27.8483608435,8.5168821193,9.0649832511,26.0921526944,17.1109638779,37.0959631366,0,0,0,0,1,0
9189,coriander,25.5144242527,9.8945677336,8.3127954161,24.5951634496,18.1633431046,39.1371835354,0,0,0,0,1,0
9190,coriander,19.1180846095,9.2042821412,8.9647831718,25.1358714344,17.9226741436,38.9835204597,0,0,0,0,1,0
9191,coriander,26.9664711614,8.9179248516,8.9079350133,26.747389245,21.8981323289,41.1458736614,0,0,0,0,1,0
9192,coriander,17.3479766632,9.7894218176,9.7115454039,26.8108897306,15.2666230768,40.1428367238,0,0,0,0,1,0
9193,coriander,18.925394931,9.7699711599,9.602502775,24.877148287,17.4636761489,41.861160396,0,0,0,0,1,0
9194,coriander,27.5091611127,9.2820781198,8.8765616079,25.9269886934,17.8642864853,40.4716910592,0,0,0,0,1,0
9195,coriander,24.3736616434,9.8820791004,9.8306915234,22.6931845527,21.5365214449,37.6440913446,0,0,0,0,1,0
9196,coriander,26.2143327047,9.8503483583,7.6852033829,24.2050527852,20.7480632052,42.6899601403,0,0,0,0,1,0
9197,coriander,21.8164934989,9.2269042317,9.9564790981,24.2036279826,23.4987391588,40.7879102718,0,0,0,0,1,0
9198,coriander,26.7957676492,9.1958185806,8.2056051592,25.9364654455,21.9331769187,40.0542341422,0,0,0,0,1,0
9199,coriander,17.2429049694,8.899781817,7.6018189271,27.8916997016,21.5472574165,42.3631951147,0,0,0,0,1,0
9200,coriander,17.1247506734,8.6705768282,9.3827831518,25.3521713639,19.4390433229,39.1698868386,0,0,0,0,1,0
9201,coriander,19.2147415877,9.4953734975,8.5010255787,23.2267049255,17.6086668799,40.531535614,0,0,0,0,1,0
9202,coriander,16.7477415716,9.8489038106,7.6796593528,23.4383256623,20.1262028652,38.7750925738,0,0,0,0,1,0
9203,coriander,26.6144254895,8.0252585854,9.7541947643,22.3623668102,15.9889407271,40.6543080293,0,0,0,0,1,0
9204,coriander,27.0446483411,8.3279833522,9.6590369351,25.4532294223,20.9924164027,42.9120401155,0,0,0,0,1,0
9205,coriander,26.6850641738,8.7771935409,9.9877752586,23.2448544308,18.5232562808,38.2655727578,0,0,0,0,1,0
9206,coriander,17.9243918595,8.0629621061,9.4668906523,24.1572364476,16.1012762628,39.2154679935,0,0,0,0,1,0
9207,coriander,17.6143016379,9.4825277385,7.8039715316,23.7758406211,16.4163421774,40.8587154871,0,0,0,0,1,0
9208,coriander,19.9152585234,9.894786687,8.3987177499,24.6509425327,16.6048103908,42.3381452342,0,0,0,0,1,0
9209,coriander,15.5184409917,9.9479746221,9.4450913126,22.6794651238,18.7959938395,37.4847390183,0,0,0,0,1,0
9210,coriander,20.2460414474,8.6480313935,9.3226416578,23.0077803553,20.7763681141,37.7446966246,0,0,0,0,1,0
9211,coriander,24.3503768121,9.878661372,9.1595806953,24.8190190583,16.0576007234,38.4372312168,0,0,0,0,1,0
9212,coriander,20.3772353506,8.5808427055,8.769933462,26.4486014723,21.484167516,37.2760112796,0,0,0,0,1,0
9213,coriander,25.1990709875,9.3901967774,8.2715393004,22.2137713996,15.5579008756,41.7888402184,0,0,0,0,1,0
9214,coriander,15.3105577333,8.5449521709,9.7563476796,22.9355534119,22.7635207449,40.4554193363,0,0,0,0,1,0
9215,coriander,25.4810367842,8.4935350501,8.3101726471,25.1461681444,20.2011403705,40.2356259654,0,0,0,0,1,0
9216,coriander,18.6708404369,9.3941445226,9.5415890352,25.2303537371,19.6314121187,40.6705644181,0,0,0,0,1,0
9217,coriander,23.4239775892,9.5532680015,8.8365564798,22.1544223077,18.0696205985,38.4151967342,0,0,0,0,1,0
9218,coriander,19.9513807007,8.4859963646,7.8343841018,27.5571525915,20.6452592986,40.7548188084,0,0,0,0,1,0
9219,coriander,25.6973254743,8.8758189897,9.3625749106,26.7524814269,21.772763862,38.4438760388,0,0,0,0,1,0
9220,coriander,27.0259456121,8.8096884119,8.2130048182,23.5132541434,17.3422465505,42.0917678535,0,0,0,0,1,0
9221,coriander,26.7152628924,8.2643711643,9.1617152141,22.4209851738,16.6817216105,40.0689220226,0,0,0,0,1,0
9222,coriander,26.9702477241,8.7559435374,7.9901091182,26.4029219268,20.1625861748,41.1241627813,0,0,0,0,1,0
9223,coriander,19.8666162216,8.52846095,9.2767370221,25.6017313359,22.8385322304,38.5627279376,0,0,0,0,1,0
9224,coriander,19.7987737655,9.0864260338,7.7405735914,24.7854039002,19.3475064708,42.3045301833,0,0,0,0,1,0
9225,coriander,17.6863345948,9.6165575029,9.5909139804,22.1272681979,15.4236790319,39.0251060337,0,0,0,0,1,0
9226,coriander,26.4056087449,9.4958214726,9.9251905153,25.0903889959,23.2910626738,39.5247138537,0,0,0,0,1,0
9227,coriander,26.471176106,9.4699664659,9.981164306,27.7770897087,17.7400926265,42.911758943,0,0,0,0,1,0
9228,coriander,22.0168067217,9.4118824244,7.774731114,25.1133768149,17.5554633396,42.8340908273,0,0,0,0,1,0
9229,coriander,26.1315135558,9.2833987843,9.5654047566,23.0040335701,19.3489599394,38.7223103234,0,0,0,0,1,0
